id_prod,ventes,price,categ,ca
1_369,2252.0,23.99,1.0,54025.479999999996
1_417,2189.0,20.99,1.0,45947.10999999999
1_414,2180.0,23.83,1.0,51949.399999999994
1_498,2128.0,23.37,1.0,49731.36
1_425,2096.0,16.99,1.0,35611.03999999999
1_403,1960.0,17.99,1.0,35260.399999999994
1_412,1951.0,16.65,1.0,32484.149999999998
1_413,1945.0,17.99,1.0,34990.549999999996
1_406,1939.0,24.81,1.0,48106.59
1_407,1935.0,15.99,1.0,30940.65
1_396,1921.0,18.6,1.0,35730.600000000006
1_398,1917.0,10.17,1.0,19495.89
1_395,1875.0,28.99,1.0,54356.25
1_400,1839.0,16.6,1.0,30527.4
1_392,1825.0,18.11,1.0,33050.75
1_376,1809.0,17.49,1.0,31639.409999999996
1_397,1799.0,18.99,1.0,34163.009999999995
1_385,1798.0,25.99,1.0,46730.02
1_388,1792.0,16.7,1.0,29926.399999999998
1_381,1781.0,15.99,1.0,28478.19
1_383,1776.0,28.99,1.0,51486.24
1_389,1776.0,24.99,1.0,44382.24
1_378,1732.0,26.61,1.0,46088.52
1_379,1708.0,26.99,1.0,46098.92
1_431,1664.0,27.99,1.0,46575.36
1_374,1655.0,10.71,1.0,17725.050000000003
1_426,1654.0,19.44,1.0,32153.760000000002
1_366,1647.0,28.54,1.0,47005.38
1_493,1599.0,10.99,1.0,17573.010000000002
1_367,1588.0,13.99,1.0,22216.12
1_480,1572.0,19.08,1.0,29993.76
1_370,1556.0,13.11,1.0,20399.16
1_365,1548.0,13.99,1.0,21656.52
1_468,1543.0,17.75,1.0,27388.25
1_488,1519.0,12.19,1.0,18516.61
1_432,1512.0,24.2,1.0,36590.4
1_456,1499.0,28.27,1.0,42376.729999999996
1_475,1479.0,20.99,1.0,31044.21
1_464,1477.0,15.01,1.0,22169.77
1_457,1443.0,22.99,1.0,33174.57
1_459,1406.0,15.99,1.0,22481.94
1_483,1392.0,15.99,1.0,22258.08
1_466,1385.0,15.81,1.0,21896.850000000002
1_462,1361.0,16.66,1.0,22674.26
1_461,1359.0,12.99,1.0,17653.41
1_448,1344.0,13.79,1.0,18533.76
1_364,1316.0,10.3,1.0,13554.800000000001
1_435,1309.0,11.99,1.0,15694.91
1_436,1300.0,11.76,1.0,15288.0
1_453,1295.0,13.99,1.0,18117.05
0_1422,1292.0,11.41,0.0,14741.72
0_1431,1282.0,10.99,0.0,14089.18
1_363,1269.0,16.99,1.0,21560.309999999998
0_1425,1266.0,12.99,0.0,16445.34
0_1432,1254.0,15.36,0.0,19261.44
1_451,1252.0,20.99,1.0,26279.48
1_444,1251.0,12.61,1.0,15775.109999999999
1_437,1247.0,26.99,1.0,33656.53
0_1411,1246.0,8.99,0.0,11201.54
0_1428,1245.0,3.55,0.0,4419.75
1_434,1243.0,15.87,1.0,19726.41
0_0,1242.0,3.75,0.0,4657.5
0_1424,1238.0,8.41,0.0,10411.58
1_441,1236.0,24.99,1.0,30887.64
0_1434,1235.0,8.58,0.0,10596.3
0_1441,1235.0,18.99,0.0,23452.649999999998
0_1440,1224.0,5.62,0.0,6878.88
0_1409,1223.0,4.99,0.0,6102.77
1_449,1222.0,14.99,1.0,18317.78
0_1430,1221.0,16.47,0.0,20109.87
0_1445,1219.0,9.99,0.0,12177.81
0_1442,1217.0,4.89,0.0,5951.129999999999
0_1416,1209.0,9.56,0.0,11558.04
1_445,1209.0,23.99,1.0,29003.91
0_1437,1204.0,3.99,0.0,4803.96
0_1438,1204.0,9.31,0.0,11209.24
0_1419,1200.0,8.99,0.0,10788.0
1_433,1191.0,18.99,1.0,22617.089999999997
0_1417,1188.0,17.99,0.0,21372.12
1_442,1181.0,24.98,1.0,29501.38
0_1410,1180.0,14.85,0.0,17523.0
0_1476,1179.0,15.66,0.0,18463.14
0_1446,1174.0,8.09,0.0,9497.66
0_1474,1173.0,9.88,0.0,11589.240000000002
0_1429,1167.0,7.99,0.0,9324.33
0_1435,1164.0,13.99,0.0,16284.36
0_1420,1163.0,11.53,0.0,13409.39
0_1443,1161.0,5.99,0.0,6954.39
0_1473,1157.0,15.99,0.0,18500.43
0_1426,1153.0,13.44,0.0,15496.32
0_1471,1153.0,12.99,0.0,14977.47
0_1421,1151.0,19.99,0.0,23008.489999999998
0_1414,1150.0,19.38,0.0,22287.0
0_1412,1146.0,11.73,0.0,13442.58
0_1481,1143.0,3.99,0.0,4560.570000000001
1_446,1138.0,23.92,1.0,27220.960000000003
0_1405,1136.0,4.99,0.0,5668.64
1_285,1133.0,14.99,1.0,16983.670000000002
1_283,1132.0,14.99,1.0,16968.68
1_286,1132.0,29.44,1.0,33326.08
0_1475,1128.0,11.99,0.0,13524.72
0_1479,1122.0,15.99,0.0,17940.78
1_362,1114.0,11.25,1.0,12532.5
0_1460,1113.0,4.59,0.0,5108.67
0_1358,1106.0,16.49,0.0,18237.94
1_281,1100.0,23.99,1.0,26389.0
0_1457,1094.0,11.99,0.0,13117.06
0_1448,1093.0,18.94,0.0,20701.420000000002
0_1407,1091.0,13.99,0.0,15263.09
1_279,1090.0,27.99,1.0,30509.1
0_1451,1085.0,19.99,0.0,21689.149999999998
1_265,1083.0,24.99,1.0,27064.17
0_1366,1076.0,16.65,0.0,17915.399999999998
0_1465,1073.0,3.99,0.0,4281.27
1_282,1070.0,23.2,1.0,24824.0
0_1464,1068.0,8.27,0.0,8832.359999999999
0_1472,1067.0,12.49,0.0,13326.83
0_1458,1065.0,6.55,0.0,6975.75
0_1453,1064.0,7.99,0.0,8501.36
0_1468,1062.0,6.08,0.0,6456.96
0_1480,1059.0,4.15,0.0,4394.85
0_1461,1049.0,11.99,0.0,12577.51
0_1357,1046.0,15.99,0.0,16725.54
0_1418,1041.0,8.57,0.0,8921.37
0_1350,1039.0,14.45,0.0,15013.55
0_1398,1039.0,4.52,0.0,4696.28
0_1404,1037.0,6.84,0.0,7093.08
0_1356,1036.0,5.57,0.0,5770.52
0_1470,1034.0,19.53,0.0,20194.02
0_1362,1033.0,11.3,0.0,11672.900000000001
0_1335,1030.0,17.99,0.0,18529.699999999997
0_1455,1028.0,8.99,0.0,9241.72
2_102,1027.0,59.14,2.0,60736.78
0_1396,1026.0,9.57,0.0,9818.82
0_1469,1026.0,14.99,0.0,15379.74
0_1450,1023.0,7.43,0.0,7600.889999999999
0_1452,1021.0,13.77,0.0,14059.17
